id,video,text,time_sec,YOUR_is_evaluative,YOUR_dimension,YOUR_polarity,auto_eval,auto_dim,auto_pol
78,BV1GyZYYNErW.js,应该是有些带回去但是发现特别特别难加工所以直接毁了,1706.8,,,,unknown,,
79,BV1BtZJYBE4G.js,人民力量,1069.0,,,,unknown,,
80,如何成为<班级面壁人>,很旧撇了,104.7,,,,yes,整体,-
81,海龟汤（2）,不恐怖？？,165.9,,,,yes,整体,-
82,错位的时空，命运的交织。,看来这个世界的主任和原世界相同，只是没有了脱缰凯,61.2,,,,yes,剧情,0
83,【4K60帧】经典老歌：瑞克·埃斯利《Never ,豪   俊   金   曲,4.5,,,,yes,音乐,+
84,错位的时空，命运的交织。,啊？我还以为是一张非常简陋的画,108.8,,,,yes,画面,-
85,BV1LSoyYqEuU.js,突然想起剧情了,582.8,,,,unknown,,
86,《崩坏：星穹铁道》动画短片：「那安息的长夜」,她真好看,258.7,,,,yes,画面,+
87,BV1BtZJYBE4G.js,献上硬币,2995.8,,,,unknown,,
88,BV1BtZJYBE4G.js,活该挑剔的欧洲人,611.1,,,,unknown,,
89,BV1GyZYYNErW.js,有可能有更高级的材料可以用,1701.5,,,,unknown,,
90,BV1GyZYYNErW.js,俄羅斯比例,4168.3,,,,unknown,,
91,BV1GyZYYNErW.js,很燃，但是又不知道燃什么,1574.8,,,,unknown,,
92,海龟汤（2）,小杨帕金森,24.0,,,,yes,演技,-
93,错位的时空，命运的交织。,我感受到了[生生不息]的激荡,0.2,,,,yes,情感共鸣,+
94,“鲁智深：林冲？好吧那我输的不冤”,这段看了十几遍林冲太帅了，一代宗师,82.7,,,,yes,整体,+
95,"为什么中国人对一道菜的最高评价是""下饭""?",我还是喜欢土豆回锅肉，加上豆瓣的香，味道超级棒,483.9,,,,yes,整体,+
96,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,太可恶了,989.8,,,,yes,情感共鸣,-
97,海龟汤（2）,这也没有《阴森》,363.4,,,,yes,整体,-
98,游戏科学新作《黑神话：悟空》13分钟实机演示,暂停翅膀也没有残影太强了,111.1,,,,yes,细节,+
99,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,认知非常准确,1411.7,,,,yes,细节,+
100,BV1BtZJYBE4G.js,国际歌来了！！！,2935.1,,,,unknown,,
